start_station_name,start_station_prob
South Waterfront Walkway - Sinatra Dr & 1 St,0.04467944609528249
Grove St PATH,0.04350443784109227
Hoboken Terminal - Hudson St & Hudson Pl,0.0336285420186836
Hoboken Terminal - River St & Hudson Pl,0.02983161451960613
Newport Pkwy,0.027034900658393056
City Hall - Washington St & 1 St,0.02635514381712599
Newport PATH,0.025471459923478802
12 St & Sinatra Dr N,0.024422692225523897
Hoboken Ave at Monmouth St,0.023684670512148225
Marin Light Rail,0.023529297519858612
Hamilton Park,0.022985492046844958
14 St Ferry - 14 St & Shipyard Ln,0.021616267552292723
Liberty Light Rail,0.02025675386975859
Columbus Dr at Exchange Pl,0.019285672667948495
Harborside,0.018664180698790032
11 St & Washington St,0.017644545436889432
Washington St,0.017265823768183496
Sip Ave,0.017032764279749073
Hudson St & 4 St,0.016955077783604264
8 St & Washington St,0.015750937093359747
Madison St & 1 St,0.015488745168871021
City Hall,0.015216842432364194
Warren St,0.014605061275223834
Newark Ave,0.014304026102662704
Columbus Park - Clinton St & 9 St,0.013381498960943114
Grand St & 14 St,0.013216415156635398
Church Sq Park - 5 St & Park Ave,0.01294451242012857
Columbus Drive,0.012866825923983763
Van Vorst Park,0.012565790751422634
Clinton St & Newark St,0.01233273126298821
Grand St,0.012128804210608092
Paulus Hook,0.01202198527840898
Manila & 1st,0.012002563654372779
9 St HBLR - Jackson St & 8 St,0.011361650061178116
Bloomfield St & 15 St,0.01109945813668939
4 St & Grand St,0.01109945813668939
7 St & Monroe St,0.011080036512653189
JC Medical Center,0.010905241896327371
Clinton St & 7 St,0.010759579716055857
Willow Ave & 12 St,0.00999242556662588
Morris Canal,0.009963293130571578
McGinley Square,0.009943871506535376
Brunswick & 6th,0.009526306589757035
Jersey & 3rd,0.00938064440948552
Brunswick St,0.00937093359746742
Baldwin at Montgomery,0.009341801161413118
Adams St & 2 St,0.009332090349395016
Southwest Park - Jackson St & Observer Hwy,0.009283536289304511
Marshall St & 2 St,0.009060187612888189
Journal Square,0.008846549748489968
Madison St & 10 St,0.008700887568218454
6 St & Grand St,0.007972576666860883
Dixon Mills,0.00753559012604634
Lafayette Park,0.007487036065955835
Riverview Park,0.0074384820058653305
Stevens - River Ter & 6 St,0.0073996387577929265
Mama Johnson Field - 4 St & Jackson St,0.007389927945774826
Pershing Field,0.007360795509720523
Hilltop,0.007253976577521412
Jersey & 6th St,0.007224844141467109
Essex Light Rail,0.007108314397249898
Monmouth and 6th,0.006632484608362951
Oakland Ave,0.006477111616073336
Adams St & 11 St,0.0064674008040552355
Bergen Ave,0.006302316999747519
Fairmount Ave,0.005622560158480452
Montgomery St,0.0056128493464623515
Christ Hospital,0.005583716910408048
Astor Place,0.0053409466099555245
Heights Elevator,0.005321524985919323
Lincoln Park,0.005311814173901221
Leonard Gordon Park,0.0051078871215211015
Communipaw & Berry Lane,0.004039697799529997
5 Corners Library,0.0036124220707335545
Glenwood Ave,0.003301676086154324
Union St,0.002728738177086368
Dey St,0.0026704733049777623
Jackson Square,0.0018159218473848783
Bergen Ave & Stegman St,0.001456621802715143
Grant Ave & MLK Dr,0.0006894676532851677
JCBS Depot,9.710812018100953e-06
